pressure_atm,t_inf_k,mdot_f_kg_s,y_f_s,t_s_k,t_f_k,r_f_m,r_f_over_r_s
1.000000,300.000000,6.8547978309e-08,9.6755429119e-01,2.3000766109e+02,3.0934219948e+03,7.0412763908e-04,1.4082552782e+01
1.000000,310.000000,6.8703713802e-08,9.6759826425e-01,2.3000904450e+02,3.0942569318e+03,7.0440619394e-04,1.4088123879e+01
1.000000,320.000000,6.8859627025e-08,9.6764231012e-01,2.3001043017e+02,3.0950998876e+03,7.0468558926e-04,1.4093711785e+01
1.000000,330.000000,6.9015720387e-08,9.6768642964e-01,2.3001181813e+02,3.0959508617e+03,7.0496583330e-04,1.4099316666e+01
1.000000,340.000000,6.9171996053e-08,9.6773062340e-01,2.3001320841e+02,3.0968098463e+03,7.0524693281e-04,1.4104938656e+01
1.000000,350.000000,6.9328455956e-08,9.6777489176e-01,2.3001460101e+02,3.0976768270e+03,7.0552889300e-04,1.4110577860e+01
1.000000,360.000000,6.9485101792e-08,9.6781923483e-01,2.3001599595e+02,3.0985517818e+03,7.0581171761e-04,1.4116234352e+01
1.000000,370.000000,6.9641935034e-08,9.6786365250e-01,2.3001739320e+02,3.0994346827e+03,7.0609540898e-04,1.4121908180e+01
1.000000,380.000000,6.9798956945e-08,9.6790814443e-01,2.3001879277e+02,3.1003254955e+03,7.0637996805e-04,1.4127599361e+01
1.000000,390.000000,6.9956168557e-08,9.6795271009e-01,2.3002019464e+02,3.1012241789e+03,7.0666539447e-04,1.4133307889e+01
1.000000,400.000000,7.0113570720e-08,9.6799734875e-01,2.3002159878e+02,3.1021306872e+03,7.0695168656e-04,1.4139033731e+01
1.000000,410.000000,7.0271164063e-08,9.6804205948e-01,2.3002300517e+02,3.1030449675e+03,7.0723884143e-04,1.4144776829e+01
1.000000,420.000000,7.0428949035e-08,9.6808684116e-01,2.3002441376e+02,3.1039669626e+03,7.0752685500e-04,1.4150537100e+01
1.000000,430.000000,7.0586925889e-08,9.6813169251e-01,2.3002582453e+02,3.1048966096e+03,7.0781572201e-04,1.4156314440e+01
1.000000,440.000000,7.0745094702e-08,9.6817661207e-01,2.3002723742e+02,3.1058338408e+03,7.0810543613e-04,1.4162108723e+01
1.000000,450.000000,7.0903455369e-08,9.6822159823e-01,2.3002865238e+02,3.1067785833e+03,7.0839598993e-04,1.4167919799e+01
1.000000,460.000000,7.1062007623e-08,9.6826664923e-01,2.3003006935e+02,3.1077307603e+03,7.0868737499e-04,1.4173747500e+01
1.000000,470.000000,7.1220751030e-08,9.6831176316e-01,2.3003148828e+02,3.1086902905e+03,7.0897958190e-04,1.4179591638e+01
1.000000,480.000000,7.1379684996e-08,9.6835693797e-01,2.3003290911e+02,3.1096570879e+03,7.0927260032e-04,1.4185452006e+01
1.000000,490.000000,7.1538808783e-08,9.6840217150e-01,2.3003433176e+02,3.1106310637e+03,7.0956641902e-04,1.4191328380e+01
1.000000,500.000000,7.1698121502e-08,9.6844746145e-01,2.3003575616e+02,3.1116121245e+03,7.0986102593e-04,1.4197220519e+01
1.000000,510.000000,7.1857622129e-08,9.6849280543e-01,2.3003718224e+02,3.1126001741e+03,7.1015640816e-04,1.4203128163e+01
1.000000,520.000000,7.2017309506e-08,9.6853820091e-01,2.3003860991e+02,3.1135951129e+03,7.1045255208e-04,1.4209051042e+01
1.000000,530.000000,7.2177182346e-08,9.6858364529e-01,2.3004003910e+02,3.1145968380e+03,7.1074944330e-04,1.4214988866e+01
1.000000,540.000000,7.2337239248e-08,9.6862913587e-01,2.3004146972e+02,3.1156052444e+03,7.1104706679e-04,1.4220941336e+01
1.000000,550.000000,7.2497478690e-08,9.6867466987e-01,2.3004290168e+02,3.1166202238e+03,7.1134540686e-04,1.4226908137e+01
1.000000,560.000000,7.2657899046e-08,9.6872024443e-01,2.3004433489e+02,3.1176416659e+03,7.1164444723e-04,1.4232888945e+01
1.000000,570.000000,7.2818498589e-08,9.6876585662e-01,2.3004576926e+02,3.1186694587e+03,7.1194417106e-04,1.4238883421e+01
1.000000,580.000000,7.2979275491e-08,9.6881150344e-01,2.3004720470e+02,3.1197034873e+03,7.1224456098e-04,1.4244891220e+01
1.000000,590.000000,7.3140227843e-08,9.6885718185e-01,2.3004864111e+02,3.1207436363e+03,7.1254559917e-04,1.4250911983e+01
1.000000,600.000000,7.3301353636e-08,9.6890288873e-01,2.3005007839e+02,3.1217897872e+03,7.1284726736e-04,1.4256945347e+01
1.000000,610.000000,7.3462650799e-08,9.6894862096e-01,2.3005151644e+02,3.1228418215e+03,7.1314954687e-04,1.4262990937e+01
1.000000,620.000000,7.3624117188e-08,9.6899437534e-01,2.3005295517e+02,3.1238996196e+03,7.1345241868e-04,1.4269048374e+01
1.000000,630.000000,7.3785750589e-08,9.6904014867e-01,2.3005439447e+02,3.1249630603e+03,7.1375586343e-04,1.4275117269e+01
1.000000,640.000000,7.3947548727e-08,9.6908593770e-01,2.3005583424e+02,3.1260320222e+03,7.1405986150e-04,1.4281197230e+01
1.000000,650.000000,7.4109509275e-08,9.6913173918e-01,2.3005727438e+02,3.1271063830e+03,7.1436439301e-04,1.4287287860e+01
1.000000,660.000000,7.4271629863e-08,9.6917754984e-01,2.3005871478e+02,3.1281860206e+03,7.1466943789e-04,1.4293388758e+01
1.000000,670.000000,7.4433908073e-08,9.6922336641e-01,2.3006015535e+02,3.1292708122e+03,7.1497497588e-04,1.4299499518e+01
1.000000,680.000000,7.4596341456e-08,9.6926918560e-01,2.3006159598e+02,3.1303606357e+03,7.1528098661e-04,1.4305619732e+01
1.000000,690.000000,7.4758927530e-08,9.6931500414e-01,2.3006303656e+02,3.1314553687e+03,7.1558744961e-04,1.4311748992e+01
1.000000,700.000000,7.4921663797e-08,9.6936081877e-01,2.3006447699e+02,3.1325548901e+03,7.1589434433e-04,1.4317886887e+01
1.000000,710.000000,7.5084547731e-08,9.6940662625e-01,2.3006591718e+02,3.1336590784e+03,7.1620165024e-04,1.4324033005e+01
1.000000,720.000000,7.5247576804e-08,9.6945242333e-01,2.3006735702e+02,3.1347678141e+03,7.1650934679e-04,1.4330186936e+01
1.000000,730.000000,7.5410748474e-08,9.6949820683e-01,2.3006879640e+02,3.1358809775e+03,7.1681741349e-04,1.4336348270e+01
1.000000,740.000000,7.5574060207e-08,9.6954397358e-01,2.3007023524e+02,3.1369984511e+03,7.1712582994e-04,1.4342516599e+01
1.000000,750.000000,7.5737509470e-08,9.6958972043e-01,2.3007167343e+02,3.1381201186e+03,7.1743457586e-04,1.4348691517e+01
1.000000,760.000000,7.5901093744e-08,9.6963544430e-01,2.3007311087e+02,3.1392458648e+03,7.1774363112e-04,1.4354872622e+01
1.000000,770.000000,7.6064810528e-08,9.6968114213e-01,2.3007454747e+02,3.1403755769e+03,7.1805297577e-04,1.4361059515e+01
1.000000,780.000000,7.6228657346e-08,9.6972681095e-01,2.3007598313e+02,3.1415091436e+03,7.1836259009e-04,1.4367251802e+01
1.000000,790.000000,7.6392631747e-08,9.6977244779e-01,2.3007741777e+02,3.1426464558e+03,7.1867245464e-04,1.4373449093e+01
1.000000,800.000000,7.6556731321e-08,9.6981804979e-01,2.3007885128e+02,3.1437874069e+03,7.1898255022e-04,1.4379651004e+01
1.000000,810.000000,7.6720953699e-08,9.6986361413e-01,2.3008028360e+02,3.1449318928e+03,7.1929285799e-04,1.4385857160e+01
1.000000,820.000000,7.6885296551e-08,9.6990913806e-01,2.3008171461e+02,3.1460798111e+03,7.1960335946e-04,1.4392067189e+01
1.000000,830.000000,7.7049757614e-08,9.6995461890e-01,2.3008314425e+02,3.1472310637e+03,7.1991403651e-04,1.4398280730e+01
1.000000,840.000000,7.7214334666e-08,9.7000005406e-01,2.3008457243e+02,3.1483855539e+03,7.2022487145e-04,1.4404497429e+01
1.000000,850.000000,7.7379025568e-08,9.7004544103e-01,2.3008599908e+02,3.1495431896e+03,7.2053584704e-04,1.4410716941e+01
1.000000,860.000000,7.7543828239e-08,9.7009077737e-01,2.3008742411e+02,3.1507038810e+03,7.2084694652e-04,1.4416938930e+01
1.000000,870.000000,7.7708740677e-08,9.7013606075e-01,2.3008884745e+02,3.1518675421e+03,7.2115815365e-04,1.4423163073e+01
1.000000,880.000000,7.7873760961e-08,9.7018128891e-01,2.3009026903e+02,3.1530340904e+03,7.2146945272e-04,1.4429389054e+01
1.000000,890.000000,7.8038887263e-08,9.7022645972e-01,2.3009168879e+02,3.1542034474e+03,7.2178082860e-04,1.4435616572e+01
1.000000,900.000000,7.8204117832e-08,9.7027157111e-01,2.3009310665e+02,3.1553755377e+03,7.2209226676e-04,1.4441845335e+01
1.000000,910.000000,7.8369451034e-08,9.7031662114e-01,2.3009452257e+02,3.1565502910e+03,7.2240375331e-04,1.4448075066e+01
1.000000,920.000000,7.8534885329e-08,9.7036160798e-01,2.3009593648e+02,3.1577276409e+03,7.2271527502e-04,1.4454305500e+01
1.000000,930.000000,7.8700419294e-08,9.7040652989e-01,2.3009734832e+02,3.1589075254e+03,7.2302681935e-04,1.4460536387e+01
1.000000,940.000000,7.8866051609e-08,9.7045138528e-01,2.3009875805e+02,3.1600898864e+03,7.2333837449e-04,1.4466767490e+01
1.000000,950.000000,7.9031781089e-08,9.7049617264e-01,2.3010016563e+02,3.1612746714e+03,7.2364992936e-04,1.4472998587e+01
1.000000,960.000000,7.9197606667e-08,9.7054089060e-01,2.3010157099e+02,3.1624618322e+03,7.2396147367e-04,1.4479229473e+01
1.000000,970.000000,7.9363527412e-08,9.7058553791e-01,2.3010297412e+02,3.1636513257e+03,7.2427299793e-04,1.4485459959e+01
1.000000,980.000000,7.9529542526e-08,9.7063011345e-01,2.3010437497e+02,3.1648431137e+03,7.2458449350e-04,1.4491689870e+01
1.000000,990.000000,7.9695651357e-08,9.7067461623e-01,2.3010577351e+02,3.1660371633e+03,7.2489595258e-04,1.4497919052e+01
1.000000,1000.000000,7.9861853409e-08,9.7071904539e-01,2.3010716971e+02,3.1672334477e+03,7.2520736826e-04,1.4504147365e+01
10.000000,300.000000,7.7400269440e-08,9.7456285846e-01,2.9918505795e+02,3.4102162524e+03,7.5411177506e-04,1.5082235501e+01
10.000000,310.000000,7.7568660442e-08,9.7459863694e-01,2.9918704679e+02,3.4113399638e+03,7.5440087366e-04,1.5088017473e+01
10.000000,320.000000,7.7737299804e-08,9.7463446372e-01,2.9918903830e+02,3.4124745925e+03,7.5469077092e-04,1.5093815418e+01
10.000000,330.000000,7.7906189863e-08,9.7467033957e-01,2.9919103251e+02,3.4136201415e+03,7.5498147578e-04,1.5099629516e+01
10.000000,340.000000,7.8075332660e-08,9.7470626503e-01,2.9919302946e+02,3.4147766035e+03,7.5527299555e-04,1.5105459911e+01
10.000000,350.000000,7.8244729972e-08,9.7474224046e-01,2.9919502917e+02,3.4159439626e+03,7.5556533601e-04,1.5111306720e+01
10.000000,360.000000,7.8414383298e-08,9.7477826602e-01,2.9919703164e+02,3.4171221936e+03,7.5585850142e-04,1.5117170028e+01
10.000000,370.000000,7.8584293869e-08,9.7481434170e-01,2.9919903687e+02,3.4183112620e+03,7.5615249459e-04,1.5123049892e+01
10.000000,380.000000,7.8754462659e-08,9.7485046731e-01,2.9920104485e+02,3.4195111247e+03,7.5644731694e-04,1.5128946339e+01
10.000000,390.000000,7.8924890401e-08,9.7488664248e-01,2.9920305557e+02,3.4207217314e+03,7.5674296850e-04,1.5134859370e+01
10.000000,400.000000,7.9095577575e-08,9.7492286671e-01,2.9920506899e+02,3.4219430225e+03,7.5703944799e-04,1.5140788960e+01
10.000000,410.000000,7.9266524433e-08,9.7495913932e-01,2.9920708508e+02,3.4231749318e+03,7.5733675288e-04,1.5146735058e+01
10.000000,420.000000,7.9437730996e-08,9.7499545949e-01,2.9920910379e+02,3.4244173851e+03,7.5763487940e-04,1.5152697588e+01
10.000000,430.000000,7.9609197068e-08,9.7503182625e-01,2.9921112507e+02,3.4256703017e+03,7.5793382260e-04,1.5158676452e+01
10.000000,440.000000,7.9780922235e-08,9.7506823852e-01,2.9921314885e+02,3.4269335936e+03,7.5823357640e-04,1.5164671528e+01
10.000000,450.000000,7.9952905885e-08,9.7510469507e-01,2.9921517507e+02,3.4282071669e+03,7.5853413364e-04,1.5170682673e+01
10.000000,460.000000,8.0125147202e-08,9.7514119456e-01,2.9921720366e+02,3.4294909211e+03,7.5883548608e-04,1.5176709722e+01
10.000000,470.000000,8.0297645185e-08,9.7517773552e-01,2.9921923453e+02,3.4307847503e+03,7.5913762454e-04,1.5182752491e+01
10.000000,480.000000,8.0470398649e-08,9.7521431639e-01,2.9922126759e+02,3.4320885430e+03,7.5944053883e-04,1.5188810777e+01
10.000000,490.000000,8.0643406225e-08,9.7525093551e-01,2.9922330276e+02,3.4334021818e+03,7.5974421788e-04,1.5194884358e+01
10.000000,500.000000,8.0816666389e-08,9.7528759109e-01,2.9922533992e+02,3.4347255453e+03,7.6004864973e-04,1.5200972995e+01
10.000000,510.000000,8.0990177448e-08,9.7532428130e-01,2.9922737899e+02,3.4360585068e+03,7.6035382162e-04,1.5207076432e+01
10.000000,520.000000,8.1163937561e-08,9.7536100418e-01,2.9922941986e+02,3.4374009356e+03,7.6065972000e-04,1.5213194400e+01
10.000000,530.000000,8.1337944735e-08,9.7539775772e-01,2.9923146240e+02,3.4387526965e+03,7.6096633056e-04,1.5219326611e+01
10.000000,540.000000,8.1512196841e-08,9.7543453981e-01,2.9923350651e+02,3.4401136507e+03,7.6127363833e-04,1.5225472767e+01
10.000000,550.000000,8.1686691618e-08,9.7547134831e-01,2.9923555206e+02,3.4414836558e+03,7.6158162765e-04,1.5231632553e+01
10.000000,560.000000,8.1861426689e-08,9.7550818099e-01,2.9923759893e+02,3.4428625667e+03,7.6189028228e-04,1.5237805646e+01
10.000000,570.000000,8.2036399550e-08,9.7554503558e-01,2.9923964700e+02,3.4442502347e+03,7.6219958539e-04,1.5243991708e+01
10.000000,580.000000,8.2211607594e-08,9.7558190973e-01,2.9924169613e+02,3.4456465087e+03,7.6250951962e-04,1.5250190392e+01
10.000000,590.000000,8.2387048113e-08,9.7561880108e-01,2.9924374620e+02,3.4470512354e+03,7.6282006713e-04,1.5256401343e+01
10.000000,600.000000,8.2562718298e-08,9.7565570722e-01,2.9924579706e+02,3.4484642588e+03,7.6313120963e-04,1.5262624193e+01
10.000000,610.000000,8.2738615256e-08,9.7569262570e-01,2.9924784858e+02,3.4498854214e+03,7.6344292843e-04,1.5268858569e+01
10.000000,620.000000,8.2914736025e-08,9.7572955403e-01,2.9924990063e+02,3.4513145647e+03,7.6375520445e-04,1.5275104089e+01
10.000000,630.000000,8.3091077554e-08,9.7576648972e-01,2.9925195306e+02,3.4527515280e+03,7.6406801830e-04,1.5281360366e+01
10.000000,640.000000,8.3267636736e-08,9.7580343024e-01,2.9925400574e+02,3.4541961500e+03,7.6438135030e-04,1.5287627006e+01
10.000000,650.000000,8.3444410404e-08,9.7584037305e-01,2.9925605853e+02,3.4556482686e+03,7.6469518053e-04,1.5293903611e+01
10.000000,660.000000,8.3621395342e-08,9.7587731560e-01,2.9925811127e+02,3.4571077214e+03,7.6500948883e-04,1.5300189777e+01
10.000000,670.000000,8.3798588294e-08,9.7591425535e-01,2.9926016384e+02,3.4585743457e+03,7.6532425489e-04,1.5306485098e+01
10.000000,680.000000,8.3975985954e-08,9.7595118974e-01,2.9926221608e+02,3.4600479782e+03,7.6563945827e-04,1.5312789165e+01
10.000000,690.000000,8.4153585003e-08,9.7598811621e-01,2.9926426787e+02,3.4615284570e+03,7.6595507841e-04,1.5319101568e+01
10.000000,700.000000,8.4331382093e-08,9.7602503222e-01,2.9926631904e+02,3.4630156199e+03,7.6627109472e-04,1.5325421894e+01
10.000000,710.000000,8.4509373866e-08,9.7606193525e-01,2.9926836948e+02,3.4645093062e+03,7.6658748656e-04,1.5331749731e+01
10.000000,720.000000,8.4687556944e-08,9.7609882277e-01,2.9927041902e+02,3.4660093552e+03,7.6690423332e-04,1.5338084666e+01
10.000000,730.000000,8.4865927965e-08,9.7613569230e-01,2.9927246755e+02,3.4675156088e+03,7.6722131443e-04,1.5344426289e+01
10.000000,740.000000,8.5044483562e-08,9.7617254137e-01,2.9927451492e+02,3.4690279093e+03,7.6753870942e-04,1.5350774188e+01
10.000000,750.000000,8.5223220389e-08,9.7620936754e-01,2.9927656098e+02,3.4705461018e+03,7.6785639792e-04,1.5357127958e+01
10.000000,760.000000,8.5402135122e-08,9.7624616840e-01,2.9927860563e+02,3.4720700330e+03,7.6817435975e-04,1.5363487195e+01
10.000000,770.000000,8.5581224451e-08,9.7628294158e-01,2.9928064871e+02,3.4735995514e+03,7.6849257489e-04,1.5369851498e+01
10.000000,780.000000,8.5760485121e-08,9.7631968476e-01,2.9928269010e+02,3.4751345089e+03,7.6881102356e-04,1.5376220471e+01
10.000000,790.000000,8.5939913909e-08,9.7635639566e-01,2.9928472967e+02,3.4766747599e+03,7.6912968625e-04,1.5382593725e+01
10.000000,800.000000,8.6119507637e-08,9.7639307203e-01,2.9928676730e+02,3.4782201615e+03,7.6944854371e-04,1.5388970874e+01
10.000000,810.000000,8.6299263189e-08,9.7642971169e-01,2.9928880287e+02,3.4797705742e+03,7.6976757706e-04,1.5395351541e+01
10.000000,820.000000,8.6479177512e-08,9.7646631251e-01,2.9929083626e+02,3.4813258619e+03,7.7008676776e-04,1.5401735355e+01
10.000000,830.000000,8.6659247627e-08,9.7650287242e-01,2.9929286735e+02,3.4828858930e+03,7.7040609767e-04,1.5408121953e+01
10.000000,840.000000,8.6839470615e-08,9.7653938941e-01,2.9929489604e+02,3.4844505382e+03,7.7072554906e-04,1.5414510981e+01
10.000000,850.000000,8.7019843665e-08,9.7657586154e-01,2.9929692221e+02,3.4860196741e+03,7.7104510468e-04,1.5420902094e+01
10.000000,860.000000,8.7200364036e-08,9.7661228693e-01,2.9929894576e+02,3.4875931803e+03,7.7136474777e-04,1.5427294955e+01
10.000000,870.000000,8.7381029093e-08,9.7664866377e-01,2.9930096660e+02,3.4891709417e+03,7.7168446206e-04,1.5433689241e+01
10.000000,880.000000,8.7561836310e-08,9.7668499033e-01,2.9930298461e+02,3.4907528481e+03,7.7200423189e-04,1.5440084638e+01
10.000000,890.000000,8.7742783265e-08,9.7672126496e-01,2.9930499972e+02,3.4923387940e+03,7.7232404212e-04,1.5446480842e+01
10.000000,900.000000,8.7923867654e-08,9.7675748609e-01,2.9930701184e+02,3.4939286792e+03,7.7264387828e-04,1.5452877566e+01
10.000000,910.000000,8.8105087305e-08,9.7679365222e-01,2.9930902088e+02,3.4955224092e+03,7.7296372651e-04,1.5459274530e+01
10.000000,920.000000,8.8286440169e-08,9.7682976195e-01,2.9931102676e+02,3.4971198948e+03,7.7328357363e-04,1.5465671473e+01
10.000000,930.000000,8.8467924336e-08,9.7686581397e-01,2.9931302941e+02,3.4987210527e+03,7.7360340718e-04,1.5472068144e+01
10.000000,940.000000,8.8649538050e-08,9.7690180704e-01,2.9931502877e+02,3.5003258063e+03,7.7392321542e-04,1.5478464308e+01
10.000000,950.000000,8.8831279700e-08,9.7693774004e-01,2.9931702477e+02,3.5019340847e+03,7.7424298737e-04,1.5484859747e+01
10.000000,960.000000,8.9013147826e-08,9.7697361193e-01,2.9931901735e+02,3.5035458232e+03,7.7456271286e-04,1.5491254257e+01
10.000000,970.000000,8.9195141149e-08,9.7700942177e-01,2.9932100647e+02,3.5051609647e+03,7.7488238251e-04,1.5497647650e+01
10.000000,980.000000,8.9377258549e-08,9.7704516874e-01,2.9932299207e+02,3.5067794583e+03,7.7520198783e-04,1.5504039757e+01
10.000000,990.000000,8.9559499092e-08,9.7708085209e-01,2.9932497411e+02,3.5084012604e+03,7.7552152115e-04,1.5510430423e+01
10.000000,1000.000000,8.9741862025e-08,9.7711647120e-01,2.9932695257e+02,3.5100263350e+03,7.7584097575e-04,1.5516819515e+01
